tagId;lat;lon;locationX;locationY;location;locationCategory;Fell off;Re-Activated & deployed;Activated;Weight;Type;Got Time;Notes_x;MonitorLog.txt;Bag #;Transponder #;Mass Total;Mass Bag;Mass Bat;Sex;FA(mm);Age;Repro State;Tooth Wear;Testes Width;Testes Length;Bites;Guano;Notes_y;Transponder #.1;_merge
0010;;;;;;;;X;X;7.74 g;Tag;X;;TAG AROUND 30:83:98:D9:00:10: group: 0x12345678, id: 0010, 4285 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H39;989001044396529.0;200.0;45.0;155.0;M;92.01;A;SCR;;18.44;18.24;Y;;;529.0;both
0018;;;;;;;;X;X;7.84 g;Tag;X;;TAG AROUND 30:83:98:D9:00:18: group: 0x12345678, id: 0018, 4250 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;E17;989001044396485.0;200.0;40.0;160.0;M;98.09;A;SCR;1.0;15.0;16.4;;;;485.0;both
0038;;;;;;;;X;X;7.76 g;Tag;X;;TAG AROUND 30:83:98:D9:00:38: group: 0x12345678, id: 0038, 4241 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H2;989001044396539.0;200.0;40.0;160.0;M;95.77;A;SCR;;19.2;23.2;;Y;;539.0;both
0054;;;;;;;X;X;X;7.70 g;Tag;X;FALL OFF, FOUND @11:00 local time, 01.02.2023;TAG AROUND 30:83:98:D9:00:54: group: 0x12345678, id: 0054, 4229 mV, lastErrorId: 180, errorCnt: 1, mirroredCmdByte: 0x00, state: 4/A0/T0;S58;989001044396499.0;200.0;40.0;150.0;M;94.35;A;SCR;1.0;20.3;20.8;;;;499.0;both
0060;;;;;;;;X;X;7.76 g;Tag;X;FALL OFF, FOUND @11:00 local time, 01.02.2023;TAG AROUND 30:83:98:D9:00:60: group: 0x12345678, id: 0060, 4286 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;;;;;;;;;;;;;;;;;left_only
0080;;;;;;;;X;X;7.92 g;Tag;X;;TAG AROUND 30:83:98:D9:00:80: group: 0x12345678, id: 0080, 4351 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H40;989001044396428.0;205.0;45.0;160.0;M;98.27;A;SCR;0.0;17.94;16.91;N;;;428.0;both
F7FC;;;;;;;;X;X;7.75 g;Tag;X;;TAG AROUND 30:83:98:D8:F7:FC: group: 0x12345678, id: F7FC, 4326 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B42;989001044396410.0;207.0;45.0;162.0;M;94.72000000000001;A;SCR;;14.84;18.0;N;;;410.0;both
F80C;;;;;;;;X;X;7.79 g;Tag;X;;TAG AROUND 30:83:98:D8:F8:0C: group: 0x12345678, id: F80C, 4216 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H47;989001044396378.0;205.0;45.0;160.0;M;96.08;A;SCR;0.0;16.55;17.09;N;;;378.0;both
F810;;;;;;;;X;X;7.69 g;Tag;X;;TAG AROUND 30:83:98:D8:F8:10: group: 0x12345678, id: F810, 4280 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;E3;989001044396470.0;215.0;40.0;175.0;M;93.29;A;SCR;;24.4;19.7;;;;470.0;both
F838;;;;;;;;X;X;7.56 g;Tag;X;;TAG AROUND 30:83:98:D8:F8:38: group: 0x12345678, id: F838, 4198 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B27;989001044396547.0;195.0;45.0;150.0;M;97.11000000000001;A;SCR;;21.5;18.8;;;;547.0;both
F850;;;;;;;;X;X;7.67 g;Tag;X;;TAG AROUND 30:83:98:D8:F8:50: group: 0x12345678, id: F850, 4278 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H31;989001044396556.0;190.0;40.0;160.0;M;97.73;A;SCR;;24.6;21.0;;;;556.0;both
F858;;;;;;;;X;X;7.82 g;Tag;X;;TAG AROUND 30:83:98:D8:F8:58: group: 0x12345678, id: F858, 4258 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B58;989001044396510.0;205.0;40.0;115.0;F;94.36000000000001;A;PLAC;;;;;;;510.0;both
F85C;;;;;;;X;X;X;7.69 g;Tag;X;FALL OFF, FOUND @11:00 local time, 01.02.2023;TAG AROUND 30:83:98:D8:F8:5C: group: 0x12345678, id: F85C, 4231 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H21;989001044396455.0;210.0;47.0;163.0;M;98.32;A;SCR;1.0;17.28;13.0;Y;;B0ld sp0t 0n head;455.0;both
F85C;;;;;;;X;X;X;7.69 g;Tag;X;FALL OFF, FOUND @11:00 local time, 01.02.2023;TAG AROUND 30:83:98:D8:F8:5C: group: 0x12345678, id: F85C, 4231 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H26;989001044396436.0;203.0;45.0;158.0;M;93.58;A;SCR;1.0;16.77;21.65;N;;W0und 0n left wing tip;436.0;both
